gene_id	gene_name	gene_type	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000171951.4	SCG2	protein_coding	3.0495956638508366	1.3644492717952466	4.482843682670211	9.547688913024392e-6	0.07137139614705446	1.3640483491901918
ENSG00000125430.7	HS3ST3B1	protein_coding	-1.311690611963316	2.6280408714417978	-4.347475238432183	1.7354209650042396e-5	0.07137139614705446	2.2541546243072883
ENSG00000144677.13	CTDSPL	protein_coding	-0.7960165498587602	5.419864470966904	-4.3459046142287905	1.7473387959804053e-5	0.07137139614705446	2.6138336808875797
ENSG00000131381.11	RBSN	protein_coding	-0.4766880396107351	4.7022896576833055	-4.2982913134701795	2.1481232850881703e-5	0.07137139614705446	2.398766638317597
ENSG00000168944.14	CEP120	protein_coding	-0.5379940681547831	4.218305432129796	-4.185016703681378	3.484363022564457e-5	0.0912182260662091	1.950190985118211
ENSG00000273820.1	USP27X	protein_coding	0.9151219937053346	2.264416991057333	4.128485822861591	4.417914360650658e-5	0.0912182260662091	0.7321404624011931
ENSG00000114738.9	MAPKAPK3	protein_coding	-0.6297545552254976	5.418745334432051	-4.084774605398802	5.2982838157422816e-5	0.0912182260662091	1.6539024600021772
ENSG00000154767.13	XPC	protein_coding	-0.5224733301686191	4.7328984802280925	-4.076137488924057	5.4909391160998705e-5	0.0912182260662091	1.5977396420154806
ENSG00000180425.9	C11orf71	protein_coding	1.1026696894404242	2.9582019495264795	3.956214739738113	8.957784576862685e-5	0.1248844465892283	0.6432917908523859
ENSG00000168918.12	INPP5D	protein_coding	-1.1871291191329518	4.263015314095573	-3.921518402210657	1.0297112287028666e-4	0.1248844465892283	1.0613410974222433
ENSG00000107581.11	EIF3A	protein_coding	-0.5022336312260651	8.033044930506533	-3.912750529797445	1.0664434877081415e-4	0.1248844465892283	1.0423749779040596
ENSG00000145715.13	RASA1	protein_coding	-0.6590550807061586	4.892344340635307	-3.8987626259057073	1.1276247999027386e-4	0.1248844465892283	0.992377420563801
ENSG00000183111.10	ARHGEF37	protein_coding	-1.1397675049483993	3.21460392458745	-3.841935849155797	1.412043961688666e-4	0.14000784489405307	0.6693013635905514
ENSG00000113272.12	THG1L	protein_coding	-0.5281761074924495	3.4634915172669487	-3.8297967150181744	1.4810205830924017e-4	0.14000784489405307	0.6253645550283018
ENSG00000073803.12	MAP3K13	protein_coding	0.9168540168313094	6.421347398365687	3.8009918131779683	1.6576524151573635e-4	0.14000784489405307	0.668823216548784
ENSG00000153976.2	HS3ST3A1	protein_coding	-1.4440857392960547	1.295340620517084	-3.7967063003949355	1.6855722485363802e-4	0.14000784489405307	0.06919409083490535
ENSG00000169035.10	KLK7	protein_coding	-2.8418176224679077	0.8100371968762439	-3.7646060654024582	1.9092673706082783e-4	0.1492597844434354	0.0038240394011133105
